Muestra,plot,site,code,type,sampling_point,weight_mg,N_perc,d15N_permil_air,obs,,,,,,,,,SET_18_LONG_first_reading,SET_18_LONG_first_reading,SET_18_LONG_first_reading,SET_18_LONG_first_reading,SET_18_LONG_second_reading,SET_18_LONG_second_reading,SET_18_LONG_second_reading,SET_18_LONG_second_reading,SET_18_LONG_average,SET_18_LONG_average,SET_18_LONG_average,SET_18_LONG_average
SET-18-LONG_P5,SET_18_LONG,SET,18,LONG,P5,25.46,0.44,-0.8,NA,,,,,,,,,,,,,,,,,,,,
SET-6A-PAST_P1,SET_6A_PAST,SET,6A,PAST,P1,25.49,0.53,0.9,NA,,,,,,,,,,,,,,,,,,,,
SET-6A-PAST_P2,SET_6A_PAST,SET,6A,PAST,P2,24.05,0.35,0.6,NA,,,,,,,,,,,,,,,,,,,,
SET-6A-PAST_P3,SET_6A_PAST,SET,6A,PAST,P3,25.36,0.39,1.2,NA,,,,,,,,,,,,,,,,,,,,
SET-6A-PAST_P4,SET_6A_PAST,SET,6A,PAST,P4,24.26,0.35,2,NA,,,,,,,,,,,,,,,,,,,,
SET-6A-PAST_P5,SET_6A_PAST,SET,6A,PAST,P5,25.29,0.47,2.8,NA,,,,,,,,,,,,,,,,,,,,
SET-6B-PAST_P1,SET_6B_PAST,SET,6B,PAST,P1,24.84,0.41,0.8,NA,,,,,,,,,,,,,,,,,,,,
SET-6B-PAST_P2,SET_6B_PAST,SET,6B,PAST,P2,25.28,0.33,1.9,NA,,,,,,,,,,,,,,,,,,,,
SET-6B-PAST_P3,SET_6B_PAST,SET,6B,PAST,P3,23.98,0.2887909,1.2634774,repeated measurement,,,,,,,,,,,,,,,,,,,,
SET-6B-PAST_P3,SET_6B_PAST,SET,6B,PAST,P3,26.02,,,"first reading (0.36 and 4.1permil) marked as outlier discared, keep repeated reading (1.26 permil)",,,,,,,,,,,,,,,,,,,,
SET-6B-PAST_P4,SET_6B_PAST,SET,6B,PAST,P4,24.28,0.48,0.2,NA,,,,,,,,,,,,,,,,,,,,
SET-6B-PAST_P5,SET_6B_PAST,SET,6B,PAST,P5,26.06,0.48,0.9,NA,,,,,,,,,,,,,,,,,,,,
SET-6C-PAST_P1,SET_6C_PAST,SET,6C,PAST,P1,23.97,0.41,3.6,NA,,,,,,,,,,,,,,,,,,,,
SET-6C-PAST_P2,SET_6C_PAST,SET,6C,PAST,P2,25.81,0.5,1.7,NA,,,,,,,,,,,,,,,,,,,,
SET-6C-PAST_P3,SET_6C_PAST,SET,6C,PAST,P3,24.53,0.22,1.4,NA,,,,,,,,,,,,,,,,,,,,
SET-6C-PAST_P4,SET_6C_PAST,SET,6C,PAST,P4,23.07,0.26,2,NA,,,,,,,,,,,,,,,,,,,,
SET-6C-PAST_P5,SET_6C_PAST,SET,6C,PAST,P5,25.93,0.43,1,NA,,,,,,,,,,,,,,,,,,,,
SET-9-LONG_P1,SET_9_LONG,SET,9,LONG,P1,25.24,0.31,1.3,NA,,,,,,,,,,,,,,,,,,,,
SET-9-LONG_P2,SET_9_LONG,SET,9,LONG,P2,24.3,0.39,-0.4,NA,,,,,,,,,,,,,,,,,,,,
SET-9-LONG_P3,SET_9_LONG,SET,9,LONG,P3,25.29,0.28,0.8,NA,,,,,,,,,,,,,,,,,,,,
SET-9-LONG_P4,SET_9_LONG,SET,9,LONG,P4,23.54,0.3996218,2.2055683,repeated measurement,,,,,,,,,,,,,,,,,,,,
SET-9-LONG_P4,SET_9_LONG,SET,9,LONG,P4,23.3,,,"first reading (0.27 and 4.4permil) marked as outlier discared, keep repeated reading (2.2 permil)",,,,,,,,,,,,,,,,,,,,
SET-9-LONG_P5,SET_9_LONG,SET,9,LONG,P5,23.52,0.43,0.4,NA,,,,,,,,,,,,,,,,,,,,
SF-1-PAST_P1,SF_1_PAST,SF,1,PAST,P1,24.89,0.32,2,NA,,,,,,,,,,,,,,,,,,,,
SF-1-PAST_P2,SF_1_PAST,SF,1,PAST,P2,24.72,0.52,0.5,NA,,,,,,,,,,,,,,,,,,,,
SF-1-PAST_P3,SF_1_PAST,SF,1,PAST,P3,26.15,0.4242944,1.4117979,repeated measurement,,,,,,,,,,,,,,,,,,,,
SF-1-PAST_P3,SF_1_PAST,SF,1,PAST,P3,24.35,0.37,1.55,average of two measurements from two capsules in the same position with values 1.7 and 1.4,,,,,,,,,,,,,,,,,,,,
SF-1-PAST_P4,SF_1_PAST,SF,1,PAST,P4,24.08,0.34,1.9,NA,,,,,,,,,,,,,,,,,,,,
SF-1-PAST_P5,SF_1_PAST,SF,1,PAST,P5,24.97,0.33,2,NA,,,,,,,,,,,,,,,,,,,,
SF-4A-LONG_P1,SF_4A_LONG,SF,4A,LONG,P1,26.22,0.24,3,NA,,,,,,,,,,,,,,,,,,,,
SF-4A-LONG_P2,SF_4A_LONG,SF,4A,LONG,P2,25.45,0.22,3.5,NA,,,,,,,,,,,,,,,,,,,,
SF-4A-LONG_P3,SF_4A_LONG,SF,4A,LONG,P3,25.15,0.19,3.6,NA,,,,,,,,,,,,,,,,,,,,
SF-4A-LONG_P4,SF_4A_LONG,SF,4A,LONG,P4,24.21,0.19,3.3,NA,,,,,,,,,,,,,,,,,,,,
SF-4A-LONG_P5,SF_4A_LONG,SF,4A,LONG,P5,24.3,0.2,3.5,NA,,,,,,,,,,,,,,,,,,,,
SF-4B-LONG_P1,SF_4B_LONG,SF,4B,LONG,P1,24.26,0.28,2.2,NA,,,,,,,,,,,,,,,,,,,,
SF-4B-LONG_P2,SF_4B_LONG,SF,4B,LONG,P2,25.39,0.19,3.9,NA,,,,,,,,,,,,,,,,,,,,
SF-4B-LONG_P3,SF_4B_LONG,SF,4B,LONG,P3,25.96,0.26,3.1,NA,,,,,,,,,,,,,,,,,,,,
SF-4B-LONG_P4,SF_4B_LONG,SF,4B,LONG,P4,25.05,0.31,2.1,NA,,,,,,,,,,,,,,,,,,,,
SF-4B-LONG_P5,SF_4B_LONG,SF,4B,LONG,P5,25.89,0.32,2.2,NA,,,,,,,,,,,,,,,,,,,,
SF-5-LONG_P1,SF_5_LONG,SF,5,LONG,P1,26.22,0.13,3.3,NA,,,,,,,,,,,,,,,,,,,,
SF-5-LONG_P2,SF_5_LONG,SF,5,LONG,P2,25.39,0.2,1.5,NA,,,,,,,,,,,,,,,,,,,,
SF-5-LONG_P3,SF_5_LONG,SF,5,LONG,P3,24.01,0.16,3.7,NA,,,,,,,,,,,,,,,,,,,,
SF-5-LONG_P4,SF_5_LONG,SF,5,LONG,P4,25.06,0.22,0.6,NA,,,,,,,,,,,,,,,,,,,,
SF-5-LONG_P5,SF_5_LONG,SF,5,LONG,P5,25.96,0.22,0.8,NA,,,,,,,,,,,,,,,,,,,,
SF-5-PAST_P1,SF_5_PAST,SF,5,PAST,P1,25.02,0.28,1.4,NA,,,,,,,,,,,,,,,,,,,,
SF-5-PAST_P2,SF_5_PAST,SF,5,PAST,P2,23.57,0.22,2.3,NA,,,,,,,,,,,,,,,,,,,,
SF-5-PAST_P3,SF_5_PAST,SF,5,PAST,P3,25.33,0.15,2.6,NA,,,,,,,,,,,,,,,,,,,,
SF-5-PAST_P4,SF_5_PAST,SF,5,PAST,P4,26.09,0.16,3.2,NA,,,,,,,,,,,,,,,,,,,,
SF-5-PAST_P5,SF_5_PAST,SF,5,PAST,P5,24.59,0.34,3.1,NA,,,,,,,,,,,,,,,,,,,,
SF-6-PAST_P1,SF_6_PAST,SF,6,PAST,P1,24.3,0.35,3,NA,,,,,,,,,,,,,,,,,,,,
SF-6-PAST_P2,SF_6_PAST,SF,6,PAST,P2,24.42,0.23,2.9,NA,,,,,,,,,,,,,,,,,,,,
SF-6-PAST_P3,SF_6_PAST,SF,6,PAST,P3,23.63,0.23,2.8,NA,,,,,,,,,,,,,,,,,,,,
SF-6-PAST_P4,SF_6_PAST,SF,6,PAST,P4,25.95,0.3,2.4,NA,,,,,,,,,,,,,,,,,,,,
SF-6-PAST_P5,SF_6_PAST,SF,6,PAST,P5,26.35,0.2,2.9,NA,,,,,,,,,,,,,,,,,,,,
SF-7-LONG_P1,SF_7_LONG,SF,7,LONG,P1,24.6,0.21,2.5,NA,,,,,,,,,,,,,,,,,,,,
SF-7-LONG_P2,SF_7_LONG,SF,7,LONG,P2,24.5,0.08,2.4,NA,,,,,,,,,,,,,,,,,,,,
SF-7-LONG_P3,SF_7_LONG,SF,7,LONG,P3,26.41,0.09,1.8,NA,,,,,,,,,,,,,,,,,,,,
SF-7-LONG_P4,SF_7_LONG,SF,7,LONG,P4,25.4,0.19,2.9,NA,,,,,,,,,,,,,,,,,,,,
SF-7-LONG_P5,SF_7_LONG,SF,7,LONG,P5,23.71,0.12,3.8,NA,,,,,,,,,,,,,,,,,,,,
SF-7-PAST_P1,SF_7_PAST,SF,7,PAST,P1,26.1,0.25,3.6,NA,,,,,,,,,,,,,,,,,,,,
